INFO 2025-03-26 02:25:15,658 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:37:18,972 basehttp "GET / HTTP/1.1" 200 6321
INFO 2025-03-26 02:37:19,122 basehttp "GET / HTTP/1.1" 200 6321
INFO 2025-03-26 02:37:19,301 basehttp "GET / HTTP/1.1" 200 6321
INFO 2025-03-26 02:38:30,724 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,761 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,798 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,837 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,871 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,905 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,937 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:30,968 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,002 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,040 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,071 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,106 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,137 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,169 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,205 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,243 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,276 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,311 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,342 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:38:31,385 basehttp "GET /redirect/ HTTP/1.1" 302 0
